Province,City,Latitude,Longitude
Abra,Bangued,17.6,120.617
Abra,Boliney,17.4,120.8
Abra,Bucay,17.533,120.717
Abra,Bucloc,17.45,120.85
Abra,Daguioman,17.45,120.917
Abra,Danglas,17.7,120.65
Abra,Dolores,17.64667,120.71083
Abra,La Paz,17.70556,120.69306
Abra,Lacub,17.667,120.95
Abra,Lagangilang,17.617,120.783
Abra,Lagayan,17.717,120.7
Abra,Langiden,17.583,120.567
Abra,Licuan-Baay,17.62694,120.83222
Abra,Luba,17.34917,120.69111
Abra,Malibcong,17.567,120.983
Abra,Manabo,17.467,120.7
Abra,Peñarrubia,17.567,120.65
Abra,Pidigan,17.567,120.583
Abra,Pilar,17.4175,120.59417
Abra,Sallapadan,17.467,120.767
Abra,San Isidro,17.467,120.6
Abra,San Juan,17.717,120.75
Abra,San Quintin,17.54306,120.51917
Abra,Tayum,17.617,120.65
Abra,Tineg,17.767,120.933
Abra,Tubo,17.167,120.717
Abra,Villaviciosa,17.433,120.633
Agusan del Norte,Butuan City,8.95,125.53
Agusan del Norte,Buenavista,8.967,125.417
Agusan del Norte,Cabadbaran,9.117,125.533
Agusan del Norte,Carmen,8.983,125.3
Agusan del Norte,Jabonga,9.35,125.517
Agusan del Norte,Kitcharao,9.45,125.567
Agusan del Norte,Las Nieves,8.733,125.6
Agusan del Norte,Magallanes,9.017,125.517
Agusan del Norte,Nasipit,,
Agusan del Norte,Remedios T. Romualdez,9.05361,125.58667
Agusan del Norte,Santiago,9.267,125.567
Agusan del Norte,Tubay,9.167,125.533
Agusan del Sur,Bayugan,8.717,125.75
Agusan del Sur,Bunawan,8.167,126.0
Agusan del Sur,Esperanza,8.683,125.65
Agusan del Sur,La Paz,8.267,125.8
Agusan del Sur,Loreto,8.183,125.85
Agusan del Sur,Prosperidad,8.6,125.917
Agusan del Sur,Rosario,8.383,126.0
Agusan del Sur,San Francisco,8.5,125.983
Agusan del Sur,San Luis,8.47806,125.74389
Agusan del Sur,Santa Josefa,7.983,126.033
Agusan del Sur,Sibagat,8.817,125.7
Agusan del Sur,Talacogon,8.45,125.783
Agusan del Sur,Trento,8.05,126.067
Agusan del Sur,Veruela,8.033,125.9
Aklan,Altavas,11.533,122.483
Aklan,Balete,11.55,122.383
Aklan,Banga,11.633,122.333
Aklan,Batan,11.583,122.5
Aklan,Buruanga,11.85,121.9
Aklan,Ibajay,11.817,122.167
Aklan,Kalibo,11.7,122.367
Aklan,Lezo,11.667,122.333
Aklan,Libacao,11.483,122.3
Aklan,Madalag,11.517,122.3
Aklan,Makato,11.7,122.283
Aklan,Malay,11.9,121.9083
Aklan,Malinao,11.65,122.3
Aklan,Nabas,11.833,122.083
Aklan,New Washington,11.65,122.433
Aklan,Numancia,11.7,122.333
Aklan,Tangalan,11.767,122.25
Albay,Legazpi City,13.13,123.73
Albay,Ligao City,13.217,123.517
Albay,Tabaco City,13.35944,123.73028
Albay,Bacacay,13.3,123.8
Albay,Camalig,13.133,123.667
Albay,Daraga,13.16194,123.69389
